,,SYS_MS,MAKE_CAN_ID(HEX),DATA(HEX)
RX,Exd,1392523267,18E3D0F3,20 20 20 20 20 20 20 20 
RX,Exd,1392531476,18E4D0F3,FF 20 20 20 20 FF FF FF 
RX,Exd,1392700576,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1392701624,100956F4,AA 00 00 00 00 00 00 00 
TX,Exd,74012,0101FFEE,5F 0A 01 01 01 01 01 01 
TX,Exd,74014,0102FFEE,5F 0B 01 01 01 01 01 01 
RX,Exd,1392950597,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1392951608,100956F4,AA 00 00 00 00 00 00 00 
RX,Exd,1393200608,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1393201648,100956F4,AA 00 00 00 00 00 00 00 
RX,Exd,1393450571,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1393451282,100956F4,AA 00 00 00 00 00 00 00 
RX,Exd,1393502577,18E1D0F3,64 61 31 32 31 31 32 34 
RX,Exd,1393512100,18E2D0F3,2F 33 37 39 30 33 31 20 
RX,Exd,1393521562,18E3D0F3,20 20 20 20 20 20 20 20 
RX,Exd,1393531550,18E4D0F3,FF 20 20 20 20 FF FF FF 
TX,Exd,74765,0101FFEE,5E 0B 01 01 01 01 01 01 
TX,Exd,74767,0102FFEE,5E 0C 01 01 01 01 01 01 
RX,Exd,1393700891,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1393701707,100956F4,AA 00 00 00 00 00 00 00 
RX,Exd,1393950617,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1393952001,100956F4,AA 00 00 00 00 00 00 00 
RX,Exd,1394200592,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1394201725,100956F4,AA 00 00 00 00 00 00 00 
TX,Exd,75518,0101FFEE,59 0C 01 01 01 01 01 01 
TX,Exd,75520,0102FFEE,59 0D 01 01 01 01 01 01 
RX,Exd,1394450552,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1394451358,100956F4,AA 00 00 00 00 00 00 00 
RX,Exd,1394502078,18E1D0F3,64 61 31 32 31 31 32 34 
RX,Exd,1394511608,18E2D0F3,2F 33 37 39 30 33 31 20 
RX,Exd,1394521640,18E3D0F3,20 20 20 20 20 20 20 20 
RX,Exd,1394531626,18E4D0F3,FF 20 20 20 20 FF FF FF 
RX,Exd,1394700909,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1394702156,100956F4,AA 00 00 00 00 00 00 00 
RX,Exd,1394950547,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1394951391,100956F4,AA 00 00 00 00 00 00 00 
TX,Exd,76270,0101FFEE,58 0D 01 01 01 01 01 01 
TX,Exd,76272,0102FFEE,58 0E 01 01 01 01 01 01 
RX,Exd,1395200933,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1395450569,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1395451432,100956F4,AA 00 00 00 00 00 00 00 
RX,Exd,1395502100,18E1D0F3,64 61 31 32 31 31 32 34 
RX,Exd,1395511687,18E2D0F3,2F 33 37 39 30 33 31 20 
RX,Exd,1395522304,18E3D0F3,20 20 20 20 20 20 20 20 
RX,Exd,1395531703,18E4D0F3,FF 20 20 20 20 FF FF FF 
RX,Exd,1395701269,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1395701816,100956F4,AA 00 00 00 00 00 00 00 
TX,Exd,77023,0101FFEE,5B 0E 01 01 01 01 01 01 
TX,Exd,77025,0102FFEE,5B 0F 01 01 01 01 01 01 
RX,Exd,1395950530,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1395951514,100956F4,AA 00 00 00 00 00 00 00 
RX,Exd,1396200545,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1396201874,100956F4,AA 00 00 00 00 00 00 00 
RX,Exd,1396450549,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1396451508,100956F4,AA 00 00 00 00 00 00 00 
RX,Exd,1396502841,18E1D0F3,64 61 31 32 31 31 32 34 
RX,Exd,1396511765,18E2D0F3,2F 33 37 39 30 33 31 20 
RX,Exd,1396521796,18E3D0F3,20 20 20 20 20 20 20 20 
TX,Exd,77776,0101FFEE,5A 0F 01 01 01 01 01 01 
RX,Exd,1396531780,18E4D0F3,FF 20 20 20 20 FF FF FF 
TX,Exd,77778,0102FFEE,5A 00 01 01 01 01 01 01 
RX,Exd,1396700774,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1396701938,100956F4,AA 00 00 00 00 00 00 00 
RX,Exd,1396951171,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1396951943,100956F4,AA 00 00 00 00 00 00 00 
RX,Exd,1397200547,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1397201952,100956F4,AA 00 00 00 00 00 00 00 
TX,Exd,78528,0101FFEE,55 00 01 01 01 01 01 01 
TX,Exd,78530,0102FFEE,55 01 01 01 01 01 01 01 
RX,Exd,1397451030,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1397451588,100956F4,AA 00 00 00 00 00 00 00 
RX,Exd,1397502327,18E1D0F3,64 61 31 32 31 31 32 34 
RX,Exd,1397511843,18E2D0F3,2F 33 37 39 30 33 31 20 
RX,Exd,1397521860,18E3D0F3,20 20 20 20 20 20 20 20 
RX,Exd,1397531858,18E4D0F3,FF 20 20 20 20 FF FF FF 
RX,Exd,1397700561,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1397701993,100956F4,AA 00 00 00 00 00 00 00 
RX,Exd,1397950510,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1397951623,100956F4,AA 00 00 00 00 00 00 00 
TX,Exd,79281,0101FFEE,54 01 01 01 01 01 01 01 
TX,Exd,79283,0102FFEE,54 02 01 01 01 01 01 01 
RX,Exd,1398200811,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1398202031,100956F4,AA 00 00 00 00 00 00 00 
RX,Exd,1398450521,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1398451668,100956F4,AA 00 00 00 00 00 00 00 
RX,Exd,1398502361,18E1D0F3,64 61 31 32 31 31 32 34 
RX,Exd,1398511922,18E2D0F3,2F 33 37 39 30 33 31 20 
RX,Exd,1398521934,18E3D0F3,20 20 20 20 20 20 20 20 
RX,Exd,1398531936,18E4D0F3,FF 20 20 20 20 FF FF FF 
RX,Exd,1398700501,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1398702052,100956F4,AA 00 00 00 00 00 00 00 
TX,Exd,80034,0101FFEE,57 02 01 01 01 01 01 01 
TX,Exd,80036,0102FFEE,57 03 01 01 01 01 01 01 
RX,Exd,1398950530,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1398951729,100956F4,AA 00 00 00 00 00 00 00 
RX,Exd,1399200818,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1399202085,100956F4,AA 00 00 00 00 00 00 00 
RX,Exd,1399450885,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1399451739,100956F4,AA 00 00 00 00 00 00 00 
